index,author_id
AmazonHelp,1377
ChipotleTweets,550
AppleSupport,445
Uber_Support,420
British_Airways,281
comcastcares,278
Ask_Spectrum,252
AirAsiaSupport,240
AskPlayStation,233
TMobileHelp,231
VerizonSupport,214
Delta,213
SouthwestAir,195
hulu_support,194
SpotifyCares,193
Tesco,185
XboxSupport,162
AmericanAir,160
idea_cares,159
AdobeCare,153
sprintcare,145
Safaricom_Care,125
CoxHelp,125
AskTarget,121
O2,120
sainsburys,115
VirginTrains,96
GWRHelp,96
SW_Help,90
TacoBellTeam,90
MicrosoftHelps,84
ATVIAssist,80
UPSHelp,80
LondonMidland,69
AlaskaAir,69
AskeBay,68
BofA_Help,65
AskLyft,65
ArbysCares,63
AskPapaJohns,62
GloCare,61
ArgosHelpers,59
AskPayPal,58
117242,56
Ask_WellsFargo,53
AzureSupport,49
airtel_care,44
AskAmex,43
Morrisons,42
CenturyLinkHelp,41
nationalrailenq,41
AldiUK,37
DropboxSupport,36
marksandspencer,34
Walmart,33
ChaseSupport,33
Postmates_Help,31
119439,30
NortonSupport,28
115911,27
JetBlue,26
AirbnbHelp,26
DoorDash_Help,26
VirginAtlantic,25
120648,25
VirginAmerica,24
IHGService,24
118505,23
DellCares,23
117624,23
119703,22
HPSupport,22
120701,22
117721,22
120251,19
120227,19
118701,18
120261,18
117241,17
120613,17
120918,17
116879,17
McDonalds,17
120152,17
116211,16
120054,16
GoDaddyHelp,16
120700,16
120396,15
GreggsOfficial,15
120469,14
118918,14
116151,14
116354,14
116025,14
119773,14
117480,13
ATT,13
119430,13
119791,13
