customer_tweet_id,customer_id,created_at_customer,reply_tweet_id,agent_id,created_at_reply,response_time_seconds
3,115712,2017-10-31 22:08:27+00:00,1,sprintcare,2017-10-31 22:10:47+00:00,140.0
5,115712,2017-10-31 21:49:35+00:00,4,sprintcare,2017-10-31 21:54:49+00:00,314.0
8,115712,2017-10-31 21:45:10+00:00,6,sprintcare,2017-10-31 21:46:24+00:00,74.0
12,115713,2017-10-31 22:04:47+00:00,11,sprintcare,2017-10-31 22:10:35+00:00,348.0
12,115713,2017-10-31 22:04:47+00:00,13,sprintcare,2017-11-01 20:48:14+00:00,81807.0
16,115713,2017-10-31 20:00:43+00:00,15,sprintcare,2017-10-31 20:03:31+00:00,168.0
18,115713,2017-10-31 19:56:01+00:00,17,sprintcare,2017-10-31 19:59:13+00:00,192.0
20,115715,2017-10-31 22:03:34+00:00,19,sprintcare,2017-10-31 22:10:10+00:00,396.0
24,115716,2017-10-31 22:13:02+00:00,21,Ask_Spectrum,2017-10-31 22:14:37+00:00,95.0
22,115716,2017-10-31 22:16:48+00:00,25,Ask_Spectrum,2017-10-31 22:18:28+00:00,100.0
26,115716,2017-10-31 22:19:56+00:00,27,Ask_Spectrum,2017-10-31 22:21:26+00:00,90.0
29,115716,2017-10-31 22:01:35+00:00,28,Ask_Spectrum,2017-10-31 22:05:37+00:00,242.0
31,115717,2017-10-31 22:06:54+00:00,30,Ask_Spectrum,2017-10-31 22:12:09+00:00,315.0
33,115718,2017-10-31 22:06:56+00:00,32,Ask_Spectrum,2017-10-31 22:10:08+00:00,192.0
36,115719,2017-10-31 22:10:46+00:00,34,VerizonSupport,2017-10-31 22:13:33+00:00,167.0
35,115719,2017-10-31 22:49:16+00:00,37,VerizonSupport,2017-10-31 22:52:00+00:00,164.0
39,115720,2017-10-31 22:12:16+00:00,38,VerizonSupport,2017-10-31 22:13:30+00:00,74.0
42,115721,2017-10-31 22:06:21+00:00,40,VerizonSupport,2017-10-31 22:12:00+00:00,339.0
41,115721,2017-10-31 22:24:55+00:00,43,VerizonSupport,2017-10-31 22:29:00+00:00,245.0
